Boarding,Bagbazar,"Shyambazar
",Khanna Cinema,HUDCO,Beliaghata XING,Metroplitan,Science City,VIP Bazaar,Ruby hospital,Kalikapur,Ajaynagar,Peerless,Patuli P.S.,Garia 
1,0.28,0.00,0.00,0.06,0.06,0.06,0.20,0.02,0.05,0.00,0.00,0.04,0.04,0
2,0.23,0.00,0.02,0.03,0.09,0.00,0.14,0.01,0.04,0.00,0.00,0.02,0.02,0
3,0.13,0.00,0.04,0.07,0.07,0.01,0.25,0.02,0.09,0.01,0.00,0.02,0.02,0
4,0.26,0.01,0.07,0.10,0.11,0.06,0.08,0.04,0.11,0.04,0.00,0.03,0.03,0
5,0.32,0.06,0.07,0.05,0.19,0.07,0.10,0.07,0.11,0.04,0.02,0.00,0.00,0
6,0.44,0.04,0.03,0.05,0.14,0.08,0.10,0.05,0.10,0.11,0.04,0.00,0.00,0
7,0.16,0.03,0.04,0.07,0.05,0.08,0.14,0.06,0.07,0.06,0.04,0.04,0.04,0
8,0.15,0.04,0.05,0.10,0.06,0.04,0.17,0.07,0.09,0.07,0.04,0.02,0.02,0
9,0.30,0.02,0.05,0.05,0.06,0.03,0.08,0.06,0.03,0.01,0.02,0.00,0.00,0
10,0.24,0.05,0.07,0.03,0.08,0.06,0.14,0.06,0.04,0.02,0.01,0.00,0.00,0
11,0.14,0.04,0.03,0.04,0.07,0.09,0.15,0.12,0.04,0.02,0.02,0.00,0.00,0
12,0.11,0.10,0.01,0.03,0.07,0.06,0.10,0.07,0.06,0.01,0.01,0.01,0.01,0
13,0.11,0.06,0.02,0.04,0.07,0.11,0.07,0.01,0.04,0.02,0.02,0.02,0.02,0
14,0.22,0.04,0.02,0.04,0.06,0.09,0.05,0.04,0.03,0.04,0.01,0.02,0.02,0
15,0.30,0.08,0.09,0.06,0.11,0.09,0.10,0.08,0.03,0.06,0.02,0.02,0.02,0
16,0.44,0.09,0.18,0.09,0.13,0.11,0.15,0.11,0.07,0.07,0.01,0.01,0.01,0
