Passenger arrival,Bagbazar,"Shyambazar
",Khanna Cinema,HUDCO,Beliaghata XING,Metroplitan,Science City,VIP Bazaar,Ruby hospital,Kalikapur,Ajaynagar,Peerless,Patuli P.S.,Garia 
1,18,48,42,48,72,18,30,42,42,18,18,12,24,0
2,30,102,84,96,102,30,72,78,78,30,48,24,42,0
3,78,78,78,72,114,90,48,54,54,90,108,48,66,0
4,66,96,60,84,132,48,84,102,102,48,126,30,78,0
5,78,54,120,114,108,54,60,72,72,78,102,102,72,0
6,48,48,180,108,132,48,84,78,78,36,48,20,18,0
7,150,30,120,96,204,66,72,90,90,54,72,60,48,0
8,108,78,78,84,168,72,66,120,120,30,72,48,42,0
9,60,102,78,108,240,90,120,108,108,144,90,60,90,0
10,90,60,60,120,156,54,84,78,78,126,138,48,48,0
11,180,138,102,192,168,54,96,60,60,90,132,30,120,0
12,192,72,240,282,222,84,150,90,90,138,252,18,84,0
13,270,138,180,240,318,66,204,150,150,126,192,30,120,0
14,144,180,180,336,348,108,240,126,126,90,168,60,120,0
15,60,60,72,132,168,90,150,108,90,72,90,30,66,0
16,48,48,42,102,90,42,72,90,42,42,66,18,42,0
