Passenger arrival,Garia ,Patuli P.S.,Peerless,Ajaynagar,Kalikapur,Ruby hospital,VIP Bazaar,Science City,Metroplitan,Beliaghata XING,HUDCO,Khanna Cinema,"Shyambazar
",Bagbazar
1,18,120,12,48,30,106,39,72,18,72,42,48,42,0
2,30,200,6,111,105,141,80,100,42,148,93,84,75,0
3,50,290,16,245,102,223,145,78,56,173,96,96,90,0
4,68,420,24,263,95,311,156,118,92,122,114,105,20,0
5,36,338,28,204,30,202,116,132,114,165,109,120,24,0
6,40,150,30,256,12,287,90,78,60,112,70,72,40,0
7,110,163,12,60,26,264,100,60,47,162,45,60,40,0
8,86,108,3,120,48,240,60,116,50,104,60,108,60,0
9,80,75,3,78,60,244,80,74,43,90,108,180,84,0
10,40,100,6,68,32,223,60,46,36,120,75,132,120,0
11,60,110,9,120,38,266,60,60,48,132,150,120,72,0
12,72,220,3,223,20,424,42,87,73,180,288,108,87,0
13,60,144,6,138,48,395,90,130,60,192,228,90,132,0
14,40,162,3,198,72,383,108,191,98,168,280,90,150,0
15,48,114,9,210,66,300,96,180,84,144,246,48,108,0
16,30,90,21,108,42,220,72,162,72,120,180,30,72,0
