Travel Time,Bagbazar,"Shyambazar
",Khanna Cinema,HUDCO,Beliaghata XING,Metroplitan,Science City,VIP Bazaar,Ruby hospital,Kalikapur,Ajaynagar,Peerless,Patuli P.S.,Garia 
1,3.35,3.77,11.48,6.92,5.42,3.18,3.8,3.18,2.03,3.45,1.57,3.5,7.78,0
2,3.35,3.77,11.48,6.92,5.42,3.18,3.8,3.18,2.03,3.45,1.57,3.5,7.78,0
3,3.72,5.78,13.85,8.85,6.22,3.6,4.05,3.53,2.05,3.87,1.88,3.5,7.42,0
4,3.72,5.78,13.85,8.85,6.22,3.6,4.05,3.53,2.05,3.87,1.88,3.5,7.42,0
5,3.72,5.78,13.85,8.85,6.22,3.6,4.05,3.53,2.05,3.87,1.88,3.5,7.42,0
6,3.35,3.77,11.48,6.92,5.42,3.18,3.8,3.18,2.03,3.45,1.57,3.5,7.78,0
7,3.35,3.77,11.48,6.92,5.42,3.18,3.8,3.18,2.03,3.45,1.57,3.5,7.78,0
8,3.35,3.77,11.48,6.92,5.42,3.18,3.8,3.18,2.03,3.45,1.57,3.5,7.78,0
9,3.35,3.77,11.48,6.92,5.42,3.18,3.8,3.18,2.03,3.45,1.57,3.5,7.78,0
10,3.35,3.77,11.48,6.92,5.42,3.18,3.8,3.18,2.03,3.45,1.57,3.5,7.78,0
11,3.43,5.2,12.53,10.58,7.05,3.37,4.3,4.05,3.8,4.28,1.42,4.05,8.07,0
12,3.43,5.2,12.53,10.58,7.05,3.37,4.3,4.05,3.8,4.28,1.42,4.05,8.07,0
13,3.43,5.2,12.53,10.58,7.05,3.37,4.3,4.05,3.8,4.28,1.42,4.05,8.07,0
14,3.42,6.72,13.17,8.62,7.38,2.9,3.92,3.82,3.08,3.67,1.3,4.62,7.83,0
15,3.42,6.72,13.17,8.62,7.38,2.9,3.92,3.82,3.08,3.67,1.3,4.62,7.83,0
16,3.42,6.72,13.17,8.62,7.38,2.9,3.92,3.82,3.08,3.67,1.3,4.62,7.83,0
