Travel Time,Garia ,Patuli P.S.,Peerless,Ajaynagar,Kalikapur,Ruby hospital,VIP Bazaar,Science City,Metroplitan,Beliaghata XING,HUDCO,Khanna Cinema,"Shyambazar
",Bagbazar
1,8.15,2.7,1.78,4.77,2.43,3.45,4,3.7,5.17,5.97,7.33,2.23,6.33,0
2,8.08,2.7,1.78,4.77,2.43,3.45,4,3.7,5.17,5.97,7.33,2.23,6.33,0
3,8.73,2.92,2.07,5.65,1.95,4.07,3.92,4.25,5.32,6.83,8.78,2.18,7,0
4,8.73,2.92,2.07,5.65,1.95,4.07,3.92,4.25,5.32,6.83,8.78,2.18,7,0
5,8.73,2.92,2.07,5.65,1.95,4.07,3.92,4.25,5.32,6.83,8.78,2.18,7,0
6,8.08,2.7,1.78,4.77,2.43,3.45,4,3.7,5.17,5.97,7.33,2.23,6.33,0
7,8.08,2.7,1.78,4.77,2.43,3.45,4,3.7,5.17,5.97,7.33,2.23,6.33,0
8,8.08,2.7,1.78,4.77,2.43,3.45,4,3.7,5.17,5.97,7.33,2.23,6.33,0
9,8.08,2.7,1.78,4.77,2.43,3.45,4,3.7,5.17,5.97,7.33,2.23,6.33,0
10,8.08,2.7,1.78,4.77,2.43,3.45,4,3.7,5.17,5.97,7.33,2.23,6.33,0
11,8.77,2.7,2.28,7.37,2.72,4.63,4.02,4.9,5.93,7.52,9.43,3.42,7.07,0
12,8.77,2.7,2.28,7.37,2.72,4.63,4.02,4.9,5.93,7.52,9.43,3.42,7.07,0
13,8.77,2.7,2.28,7.37,2.72,4.63,4.02,4.9,5.93,7.52,9.43,3.42,7.07,0
14,8.23,2.88,2.07,5.55,2.38,3.38,3.73,3.93,5.28,5.65,8.3,2.48,6.27,0
15,8.23,2.88,2.07,5.55,2.38,3.38,3.73,3.93,5.28,5.65,8.3,2.48,6.27,0
16,8.23,2.88,2.07,5.55,2.38,3.38,3.73,3.93,5.28,5.65,8.3,2.48,6.27,0
