Alighting,Bagbazar,"Shyambazar
",Khanna Cinema,HUDCO,Beliaghata XING,Metroplitan,Science City,VIP Bazaar,Ruby hospital,Kalikapur,Ajaynagar,Peerless,Patuli P.S.,Garia 
1,0,0.00,0.20,0.14,0.21,0.05,0.27,0.06,0.33,0.07,0.40,0.18,0.30,1
2,0,0.00,0.11,0.09,0.24,0.03,0.16,0.07,0.26,0.14,0.53,0.30,0.43,1
3,0,0.00,0.07,0.12,0.30,0.09,0.20,0.10,0.50,0.12,0.31,0.31,0.50,1
4,0,0.00,0.07,0.05,0.32,0.10,0.20,0.12,0.50,0.18,0.20,0.14,0.43,1
5,0,0.00,0.07,0.06,0.31,0.10,0.18,0.08,0.33,0.22,0.31,0.08,0.38,1
6,0,0.20,0.13,0.15,0.33,0.10,0.15,0.16,0.65,0.11,0.40,0.13,0.38,1
7,0,0.00,0.20,0.20,0.29,0.05,0.10,0.14,0.30,0.11,0.31,0.17,0.27,1
8,0,0.14,0.10,0.33,0.19,0.04,0.34,0.26,0.53,0.18,0.30,0.13,0.33,1
9,0,0.20,0.14,0.10,0.11,0.17,0.24,0.25,0.39,0.15,0.17,0.17,0.36,1
10,0,0.00,0.14,0.11,0.20,0.05,0.14,0.14,0.24,0.05,0.24,0.17,0.25,1
11,0,0.00,0.11,0.20,0.19,0.08,0.08,0.15,0.22,0.15,0.23,0.30,0.32,1
12,0,0.20,0.09,0.14,0.17,0.07,0.09,0.09,0.24,0.13,0.28,0.25,0.40,1
13,0,0.17,0.09,0.15,0.18,0.12,0.07,0.15,0.29,0.15,0.33,0.29,0.43,1
14,0,0.00,0.11,0.27,0.18,0.19,0.11,0.20,0.37,0.22,0.32,0.29,0.42,1
15,0,0.17,0.09,0.23,0.18,0.12,0.10,0.17,0.35,0.16,0.30,0.17,0.41,1
16,0,0.00,0.29,0.08,0.17,0.13,0.11,0.18,0.09,0.14,0.26,0.07,0.43,1
