Dwell_time,Bagbazar,"Shyambazar
",Khanna Cinema,HUDCO,Beliaghata XING,Metroplitan,Science City,VIP Bazaar,Ruby hospital,Kalikapur,Ajaynagar,Peerless,Patuli P.S.,Garia 
1,0,26,30,76,42,22,36,28,46,18,35,22,136,0
2,0,26,30,76,42,22,36,28,46,18,35,22,136,0
3,0,39,35,104,75,37,38,31,69,25,32,25,138,0
4,0,39,35,104,75,37,38,31,69,25,32,25,138,0
5,0,39,35,104,75,37,38,31,69,25,32,25,138,0
6,0,26,30,76,42,22,36,28,46,18,35,22,136,0
7,0,26,30,76,42,22,36,28,46,18,35,22,136,0
8,0,26,30,76,42,22,36,28,46,18,35,22,136,0
9,0,26,30,76,42,22,36,28,46,18,35,22,136,0
10,0,26,30,76,42,22,36,28,46,18,35,22,136,0
11,0,36,28,67,50,37,36,35,69,35,47,47,133,0
12,0,36,28,67,50,37,36,35,69,35,47,47,133,0
13,0,36,28,67,50,37,36,35,69,35,47,47,133,0
14,0,33,32,71,50,49,40,41,71,33,36,29,128,0
15,0,33,32,71,50,49,40,41,71,33,36,29,128,0
16,0,33,32,71,50,49,40,41,71,33,36,29,128,0
