Dwell_time,Garia ,Patuli P.S.,Peerless,Ajaynagar,Kalikapur,Ruby hospital,VIP Bazaar,Science City,Metroplitan,Beliaghata XING,HUDCO,Khanna Cinema,"Shyambazar
",Bagbazar
1,0,27,28,26,30,38,25,24,27,49,54,24,30,0
2,0,27,28,26,30,38,25,24,27,49,54,24,30,0
3,0,41,39,37,38,85,39,44,32,64,70,19,28,0
4,0,41,39,37,38,85,39,44,32,64,70,19,28,0
5,0,41,39,37,38,85,39,44,32,64,70,19,28,0
6,0,27,28,26,30,38,25,24,27,49,54,24,30,0
7,0,27,28,26,30,38,25,24,27,49,54,24,30,0
8,0,27,28,26,30,38,25,24,27,49,54,24,30,0
9,0,27,28,26,30,38,25,24,27,49,54,24,30,0
10,0,27,28,26,30,38,25,24,27,49,54,24,30,0
11,0,29,24,39,42,70,42,47,66,76,105,31,42,0
12,0,29,24,39,42,70,42,47,66,76,105,31,42,0
13,0,29,24,39,42,70,42,47,66,76,105,31,42,0
14,0,29,24,39,42,70,42,47,66,76,105,31,42,0
15,0,29,24,39,42,70,42,47,66,76,105,31,42,0
16,0,29,24,39,42,70,42,47,66,76,105,31,42,0
